Hello, World, Test
70.79942,86.259717,167.598679
89.187023,75.963872,96.698685
49.124454,81.251202,100.853127
12.692019,0.00,0.00
70.885799,85.189,167.626907
89.393518,74.643079,96.735077
49.07193,79.507672,100.812141
12.720096,0.00,0.00
70.959805,84.105588,167.658661
89.538954,73.363255,96.793999
48.970983,77.812558,100.874039
12.747653,0.00,0.00
71.019695,83.032834,167.710388
89.582584,72.084965,96.854652
48.818539,76.244954,100.986809
12.775437,0.00,0.00
71.091698,81.505315,167.811859
89.557217,70.263402,96.824173
48.50478,74.098027,101.162132
12.817798,0.00,0.00
71.10195,80.460393,167.878281
89.507769,69.050328,96.741478
48.254202,72.793286,101.215652
12.845586,0.00,0.00
71.093295,79.388623,167.929718
89.434647,67.828336,96.628456
47.961948,71.5686,101.204041
12.873159,0.00,0.00
71.053384,78.271924,167.957687
89.338898,66.627042,96.529312
47.656128,70.420758,101.120995
12.901067,0.00,0.00
70.93117,76.530247,167.974152
89.123009,64.862492,96.359543
47.229599,68.836224,100.886963
12.94303,0.00,0.00
70.788358,75.319806,167.973175
88.923763,63.718404,96.272896
46.968674,67.82494,100.680069
12.970778,0.00,0.00
70.580147,74.045125,167.931091
88.67297,62.573254,96.232681
46.752785,66.847707,100.475441
12.998806,0.00,0.00
70.310901,72.727757,167.850296
88.363884,61.387852,96.194717
46.571157,65.89053,100.268112
13.026706,0.00,0.00
69.76044,70.590558,167.624695
87.836931,59.537091,96.116386
46.378063,64.466588,99.981567
13.068135,0.00,0.00
69.32771,69.076054,167.460052
87.451527,58.260098,96.034401
46.31605,63.484555,99.838287
13.096442,0.00,0.00
68.842051,67.552747,167.29454
87.074373,56.969693,95.937439
46.308134,62.414983,99.705307
13.124545,0.00,0.00
68.346212,66.076535,167.117523
86.730503,55.692509,95.869736
46.318077,61.257153,99.566406
13.152633,0.00,0.00
67.838524,64.649998,166.967285
86.533211,54.449307,96.021706
46.340775,60.001111,99.477242
13.181331,0.00,0.00
67.166756,62.41145,166.687286
86.313652,52.44788,96.546837
46.438263,57.941426,99.603889
13.223062,0.00,0.00
66.761134,60.848149,166.527542
86.203144,51.073628,96.970413
46.484564,56.478825,99.846848
13.251319,0.00,0.00
66.411589,59.290433,166.459335
86.14435,49.704373,97.356102
46.48671,54.993954,100.106873
13.278952,0.00,0.00
66.106365,57.797375,166.589401
86.118626,48.163937,97.810173
46.415613,53.427228,100.438553
13.306488,0.00,0.00
65.815089,55.670094,166.950882
86.087059,45.588429,98.384682
46.160839,51.017468,101.02179
13.348449,0.00,0.00
65.688966,54.263615,167.330994
86.131094,43.914853,98.677704
45.930836,49.497388,101.335587
13.3763,0.00,0.00
65.59429,52.862447,167.744034
86.255192,42.296521,98.860901
45.668982,48.036801,101.573044
13.403868,0.00,0.00
65.535114,51.539769,168.197495
86.403297,40.725339,98.911926
45.34676,46.660146,101.734177
13.43183,0.00,0.00
65.458272,49.641812,168.794174
86.647795,38.408871,98.809113
44.74654,44.802457,101.896584
13.473813,0.00,0.00
65.410898,48.404286,169.090714
86.814568,36.938351,98.650536
44.30971,43.702916,101.970062
13.501602,0.00,0.00
65.368007,47.168027,169.314972
86.986134,35.545789,98.404655
43.849991,42.700093,101.987381
13.529562,0.00,0.00
65.337942,45.970616,169.467819
87.167452,34.258427,98.097649
43.409012,41.73473,101.972336
13.557079,0.00,0.00
65.30845,44.178426,169.637161
87.468956,32.533444,97.649559
42.857574,40.2375,101.983826
13.599342,0.00,0.00
65.31658,43.014653,169.748627
87.735771,31.564008,97.466537
42.59281,39.157964,102.015373
13.627139,0.00,0.00
65.382479,41.861294,169.855209
88.114902,30.828725,97.418106
42.419552,38.017071,102.038155
13.655302,0.00,0.00
65.542815,40.658551,169.943161
88.441704,30.198136,97.49794
42.356514,36.846577,102.034363
13.68288,0.00,0.00
66.004322,38.887379,170.127426
88.740799,29.394982,97.700386
42.505238,35.114148,101.95388
13.725206,0.00,0.00
66.469381,37.723927,170.247787
88.912437,28.902913,97.904663
42.774008,33.927907,101.851265
13.752982,0.00,0.00
67.069004,36.547902,170.355774
89.172146,28.393609,98.149887
43.187712,32.704831,101.709053
13.78057,0.00,0.00
67.778156,35.374951,170.420135
89.491436,27.794423,98.430748
43.74411,31.431645,101.522568
13.808621,0.00,0.00
69.00451,33.653905,170.44812
90.080259,26.686833,98.900101
44.887135,29.476311,101.146507
13.850268,0.00,0.00
69.889234,32.499295,170.402191
90.548347,25.831113,99.2565
45.853327,28.203572,100.906204
13.878177,0.00,0.00
70.817731,31.314946,170.295853
91.085934,24.708726,99.573616
46.990704,27.058747,100.660339
13.905889,0.00,0.00
71.748589,30.142464,170.171982
91.720318,23.446995,99.832802
48.276257,26.072713,100.411804
13.933849,0.00,0.00
73.120378,28.418339,169.957245
92.827223,21.266152,100.099419
50.564454,24.821419,100.023422
13.975895,0.00,0.00
74.038289,27.310147,169.824463
93.664955,19.699361,100.069305
52.240108,24.072591,99.834808
14.003612,0.00,0.00
74.918888,26.238766,169.705566
94.563053,18.129361,99.901924
53.976105,23.388852,99.70961
14.031577,0.00,0.00
75.753186,25.200967,169.612656
95.544598,16.563676,99.571098
55.771826,22.759698,99.67083
14.059116,0.00,0.00
76.890133,23.696221,169.5867
97.160217,14.207745,98.921638
58.474563,21.804211,99.889336
14.101012,0.00,0.00
77.578757,22.740956,169.650925
98.327778,12.672795,98.51622
60.145662,21.190766,100.194916
14.129261,0.00,0.00
78.23324,21.873078,169.798828
99.528908,11.259969,98.183243
61.662744,20.569623,100.578705
14.156649,0.00,0.00
78.861402,21.112218,169.994202
100.727104,9.941525,97.910278
62.92877,19.92606,101.0271
14.184708,0.00,0.00
79.470323,20.428719,170.183609
101.820538,8.757741,97.682251
63.601611,19.346349,101.46315
14.212428,0.00,0.00
80.363462,19.556058,170.440353
103.216694,7.221265,97.398048
63.857935,18.743069,101.999847
14.254386,0.00,0.00
80.946777,19.035161,170.554276
103.963348,6.328072,97.219269
63.888619,18.407605,102.138481
14.282105,0.00,0.00
81.517814,18.56754,170.655777
104.596088,5.5425,97.089081
63.929532,18.126454,102.258842
14.309793,0.00,0.00
82.065485,18.14552,170.75267
105.146,4.752331,96.916161
63.963483,17.784337,102.383636
14.337578,0.00,0.00
82.860062,17.653126,170.926254
105.770683,3.576611,96.554604
63.963483,17.146149,102.528603
14.379574,0.00,0.00
83.357761,17.419854,171.098801
106.078384,2.830998,96.303398
63.971708,16.718217,102.648781
14.407425,0.00,0.00
83.760212,17.240266,171.284531
106.32534,2.132478,96.063965
63.996027,16.302548,102.848373
14.435514,0.00,0.00
84.06658,17.089631,171.44519
106.479477,1.496831,95.839005
63.965414,15.935734,103.101227
14.463371,0.00,0.00
84.393785,16.941083,171.629776
106.5896,0.71835,95.524651
63.734553,15.512555,103.429924
14.505257,0.00,0.00
84.50527,16.912881,171.718307
106.581497,0.342896,95.32737
63.525818,15.284638,103.592453
14.533207,0.00,0.00
84.552547,16.908101,171.768127
106.499313,0.089452,95.126335
63.2776,15.086983,103.718666
14.561064,0.00,0.00
84.50794,16.937325,171.778992
106.330559,-0.047069,94.924522
62.988494,14.85616,103.813843
14.589208,0.00,0.00
84.482477,16.959973,171.793671
106.118702,-0.091468,94.732018
62.66608,14.600056,103.891823
14.622439,0.00,0.00
84.120724,17.098065,171.707809
105.658745,0.091912,94.44548
62.077067,14.161031,103.945641
14.656682,0.00,0.00
83.842705,17.198655,171.69426
105.253242,0.368211,94.283669
61.618016,13.831269,103.944412
