# Measurement Wed, 01 Mar 2023 - 21:25:00.740 (01:00.076) SN8508 SN8509 Size 4, normal
# No Name, No Comment, No tags
# time	left pressure 1[N/cm²]	left pressure 2[N/cm²]	left pressure 3[N/cm²]	left pressure 4[N/cm²]	left pressure 5[N/cm²]	left pressure 6[N/cm²]	left pressure 7[N/cm²]	left pressure 8[N/cm²]	left pressure 9[N/cm²]	left pressure 10[N/cm²]	left pressure 11[N/cm²]	left pressure 12[N/cm²]	left pressure 13[N/cm²]	left pressure 14[N/cm²]	left pressure 15[N/cm²]	left pressure 16[N/cm²]	left acceleration X[g]	left acceleration Y[g]	left acceleration Z[g]	left angular X[dps]	left angular Y[dps]	left angular Z[dps]	left total force[N]	left center of pressure X[-0.5...+0.5]	left center of pressure Y[-0.5...+0.5]	right pressure 1[N/cm²]	right pressure 2[N/cm²]	right pressure 3[N/cm²]	right pressure 4[N/cm²]	right pressure 5[N/cm²]	right pressure 6[N/cm²]	right pressure 7[N/cm²]	right pressure 8[N/cm²]	right pressure 9[N/cm²]	right pressure 10[N/cm²]	right pressure 11[N/cm²]	right pressure 12[N/cm²]	right pressure 13[N/cm²]	right pressure 14[N/cm²]	right pressure 15[N/cm²]	right pressure 16[N/cm²]	right acceleration X[g]	right acceleration Y[g]	right acceleration Z[g]	right angular X[dps]	right angular Y[dps]	right angular Z[dps]	right total force[N]	right center of pressure X[-0.5...+0.5]	right center of pressure Y[-0.5...+0.5]
0.00	3.50	3.75	3.50	5.50	1.75	2.75	0.25	1.00	2.50	1.25	0.50	0.75	0.75	1.75	0.00	0.75	-0.161133	0.119629	0.973633	-1.400000	2.170000	0.630000	295.00	-0.125346	-0.057863																									
0.01	3.50	3.75	3.75	5.50	1.75	2.75	0.25	1.00	2.50	1.00	0.50	0.50	0.75	1.75	0.00	0.75	-0.165039	0.119629	0.986816	-1.540000	2.100000	0.630000	293.00	-0.132288	-0.055610	0.00	0.00	0.25	1.75	0.00	1.00	0.00	2.25	0.75	1.00	1.50	2.50	2.75	0.50	0.50	1.75	-0.166016	0.149414	0.989746	-1.820000	-3.220000	3.780000	158.00	0.099321	-0.234406
0.02	3.50	3.75	3.75	5.50	1.50	2.75	0.25	0.75	2.50	1.00	0.75	0.50	1.00	1.50	0.50	0.50	-0.161133	0.115723	0.980957	-1.330000	2.030000	0.700000	293.00	-0.125627	-0.056773	0.00	0.00	0.25	1.50	0.25	1.25	0.00	2.50	0.75	1.00	1.50	2.50	2.75	0.50	0.50	1.75	-0.172852	0.147949	0.989746	-1.750000	-3.220000	3.780000	164.00	0.095615	-0.233944
0.03	3.50	3.75	3.75	5.50	1.50	3.00	0.25	0.75	2.25	1.25	0.75	0.50	1.00	2.25	0.50	0.50	-0.157715	0.117676	0.979004	-1.540000	2.310000	0.630000	301.00	-0.116267	-0.056335	0.00	0.00	0.25	1.25	0.50	1.25	0.00	2.50	0.75	1.00	1.50	2.50	3.00	0.50	0.50	1.75	-0.176270	0.140137	0.986328	-1.820000	-3.220000	3.850000	166.00	0.098958	-0.232350
0.04	3.50	3.75	3.75	5.00	1.75	3.00	0.25	1.00	2.25	1.25	0.75	0.75	0.75	2.25	0.50	0.75	-0.163574	0.111816	0.975586	-1.540000	2.170000	0.560000	303.00	-0.109651	-0.056716	0.00	0.00	0.25	1.00	0.50	1.00	0.00	2.25	0.75	1.00	1.75	2.50	3.00	0.25	0.50	1.75	-0.166992	0.149414	0.986328	-1.820000	-3.220000	3.850000	158.00	0.109556	-0.231621
0.05	3.50	3.75	3.75	5.00	1.50	3.00	0.25	1.00	2.50	1.00	1.00	0.50	0.75	1.75	0.50	0.50	-0.160156	0.119629	0.983887	-1.470000	2.030000	0.560000	296.00	-0.117377	-0.055880	0.00	0.00	0.50	1.00	0.50	0.75	0.00	2.25	0.75	1.00	1.75	2.50	3.00	0.25	0.50	1.75	-0.173828	0.150879	0.984375	-1.820000	-3.290000	3.920000	158.00	0.107614	-0.225779
0.06	3.50	4.00	3.75	5.50	1.75	2.75	0.25	0.75	2.50	1.00	0.75	0.50	0.75	1.75	0.50	0.50	-0.159180	0.112793	0.981445	-1.260000	2.030000	0.630000	298.00	-0.126128	-0.052298	0.00	0.00	0.25	1.00	0.50	0.50	0.00	2.50	1.00	1.00	1.75	2.50	2.75	0.50	0.50	1.75	-0.174316	0.151367	0.987793	-1.890000	-3.220000	3.780000	159.00	0.120801	-0.216418
0.07	3.50	4.00	3.75	5.50	1.75	2.75	0.25	1.25	2.50	1.00	0.75	0.75	0.75	2.00	0.50	0.50	-0.163574	0.114258	0.983887	-1.470000	1.890000	0.630000	309.00	-0.117544	-0.060388	0.00	0.00	0.25	1.00	0.25	1.00	0.00	2.50	1.00	1.00	1.75	2.50	3.25	0.50	0.50	1.75	-0.178711	0.147949	0.989258	-1.960000	-3.150000	3.780000	166.00	0.117507	-0.228230
0.08	3.50	4.00	3.75	6.00	1.75	3.00	0.25	1.25	2.75	1.25	1.00	0.75	0.75	2.00	0.50	0.50	-0.163086	0.117676	0.982910	-1.330000	1.960000	0.630000	324.00	-0.111825	-0.060972	0.00	0.00	0.25	1.00	0.50	1.00	0.00	2.25	0.75	1.00	1.50	2.50	3.25	0.50	0.50	1.75	-0.176270	0.145508	0.985840	-1.820000	-3.010000	3.780000	159.00	0.112277	-0.231226
0.09	3.50	4.00	4.00	5.50	1.75	3.00	0.25	1.00	2.50	1.00	0.75	0.75	0.75	1.75	0.50	0.50	-0.166992	0.121094	0.982422	-1.260000	1.960000	0.490000	308.00	-0.123591	-0.058635	0.00	0.00	0.25	1.00	0.50	0.75	0.00	2.25	0.75	1.00	1.75	2.50	3.00	0.50	0.50	1.75	-0.175781	0.146484	0.988770	-1.820000	-2.940000	3.780000	157.00	0.117464	-0.225887
0.10	3.50	4.00	4.00	5.50	1.75	3.00	0.25	1.00	2.50	1.00	0.50	0.50	0.75	2.00	0.50	0.50	-0.165527	0.112305	0.977051	-1.260000	1.890000	0.490000	306.00	-0.125526	-0.054805	0.00	0.00	0.00	1.00	0.50	0.50	0.00	2.25	0.75	1.00	1.75	2.50	3.00	0.50	0.50	1.75	-0.176270	0.146973	0.986328	-1.890000	-2.940000	3.850000	152.00	0.128299	-0.230407
