# Measurement Wed, 01 Mar 2023 - 21:26:23.432 (01:01.432) SN8508 SN8509 Size 4, normal
# No Name, No Comment, No tags
# time	left pressure 1[N/cm²]	left pressure 2[N/cm²]	left pressure 3[N/cm²]	left pressure 4[N/cm²]	left pressure 5[N/cm²]	left pressure 6[N/cm²]	left pressure 7[N/cm²]	left pressure 8[N/cm²]	left pressure 9[N/cm²]	left pressure 10[N/cm²]	left pressure 11[N/cm²]	left pressure 12[N/cm²]	left pressure 13[N/cm²]	left pressure 14[N/cm²]	left pressure 15[N/cm²]	left pressure 16[N/cm²]	left acceleration X[g]	left acceleration Y[g]	left acceleration Z[g]	left angular X[dps]	left angular Y[dps]	left angular Z[dps]	left total force[N]	left center of pressure X[-0.5...+0.5]	left center of pressure Y[-0.5...+0.5]	right pressure 1[N/cm²]	right pressure 2[N/cm²]	right pressure 3[N/cm²]	right pressure 4[N/cm²]	right pressure 5[N/cm²]	right pressure 6[N/cm²]	right pressure 7[N/cm²]	right pressure 8[N/cm²]	right pressure 9[N/cm²]	right pressure 10[N/cm²]	right pressure 11[N/cm²]	right pressure 12[N/cm²]	right pressure 13[N/cm²]	right pressure 14[N/cm²]	right pressure 15[N/cm²]	right pressure 16[N/cm²]	right acceleration X[g]	right acceleration Y[g]	right acceleration Z[g]	right angular X[dps]	right angular Y[dps]	right angular Z[dps]	right total force[N]	right center of pressure X[-0.5...+0.5]	right center of pressure Y[-0.5...+0.5]	right steps[]	left steps[]
0.00	3.25	3.25	2.50	4.00	0.50	2.75	0.00	2.25	0.25	1.00	0.75	1.50	2.00	0.50	0.00	0.75	-0.160156	0.139160	0.978516	-1.680000	1.890000	0.770000	245.00	-0.138405	-0.158572	2.25	2.25	4.25	5.50	2.75	3.25	0.25	1.25	2.50	1.75	1.25	0.75	0.75	0.50	0.50	1.00	-0.160156	0.113770	1.001953	-1.610000	-3.780000	3.850000	305.00	-0.098003	-0.067977		
0.01	3.50	3.25	2.75	4.00	0.50	2.75	0.00	2.50	0.00	0.75	0.75	1.75	2.75	0.50	0.00	0.75	-0.161621	0.140625	0.975586	-1.680000	1.960000	0.770000	257.00	-0.138079	-0.172259	2.25	2.25	4.25	5.50	2.75	4.25	0.50	1.25	2.50	1.75	1.25	0.75	0.75	0.50	0.50	1.00	-0.166504	0.111816	0.999512	-1.540000	-3.710000	3.850000	319.00	-0.097745	-0.070979		
0.02	3.50	3.25	2.75	4.00	0.50	2.50	0.00	2.50	0.00	0.75	0.50	1.75	2.75	0.50	0.00	0.75	-0.158691	0.144531	0.977539	-1.610000	1.890000	0.770000	252.00	-0.141400	-0.171800	2.25	2.25	4.50	5.75	2.75	4.25	0.50	1.25	2.50	1.75	1.00	0.75	0.75	0.50	0.75	1.00	-0.161621	0.110352	0.997559	-1.470000	-3.640000	3.850000	324.00	-0.099165	-0.070659		
0.03	3.50	3.00	2.50	4.00	0.50	2.50	0.00	2.50	0.25	1.00	0.50	1.75	2.75	0.75	0.00	0.75	-0.159668	0.142578	0.978027	-1.610000	1.890000	0.770000	254.00	-0.125379	-0.164335	2.50	2.75	4.50	5.75	2.75	4.25	0.25	1.25	2.50	1.75	1.00	0.75	0.50	0.50	0.50	1.00	-0.161621	0.110352	0.997559	-1.470000	-3.640000	3.850000	322.00	-0.112941	-0.071470		
0.04	3.25	3.25	2.50	4.00	0.50	2.50	0.00	2.50	0.00	1.00	0.50	1.50	2.75	0.75	0.00	0.75	-0.154785	0.144043	0.973633	-1.400000	1.750000	0.770000	249.00	-0.133031	-0.170958	2.25	2.75	4.50	5.50	3.00	4.00	0.25	1.25	2.50	1.75	1.00	0.75	0.50	0.50	0.50	1.00	-0.160645	0.104492	0.996094	-1.680000	-3.710000	3.780000	318.00	-0.109187	-0.068974		
0.05	3.25	3.25	2.50	4.00	0.50	2.25	0.00	2.50	0.00	1.00	0.50	1.50	2.50	1.00	0.00	0.75	-0.157715	0.145020	0.977051	-1.400000	1.750000	0.840000	246.00	-0.130960	-0.164810	2.50	2.50	4.25	5.75	3.25	3.75	0.25	1.25	2.50	1.75	1.25	0.75	0.50	0.50	0.50	1.00	-0.160156	0.110840	0.997559	-1.680000	-3.780000	3.920000	320.00	-0.106776	-0.067248		
0.06	3.50	3.25	2.75	3.75	0.50	2.75	0.00	2.50	0.25	0.75	0.50	1.50	2.75	1.00	0.00	0.75	-0.149414	0.141113	0.974609	-1.540000	1.960000	0.840000	256.00	-0.130282	-0.160565	2.50	2.75	4.25	5.75	3.00	3.25	0.25	1.00	2.50	1.75	1.25	0.75	0.50	0.75	0.50	1.00	-0.161133	0.112793	0.995605	-1.540000	-3.780000	3.850000	313.00	-0.105798	-0.060548		
0.07	3.50	3.00	2.75	4.00	0.50	2.75	0.00	2.25	0.25	0.75	0.50	1.50	2.75	0.75	0.00	1.00	-0.159180	0.145020	0.982910	-1.540000	1.820000	0.770000	252.00	-0.132854	-0.161343	2.25	2.00	4.25	5.50	3.00	3.75	0.25	1.25	2.25	2.00	1.25	0.75	0.75	0.75	0.50	1.00	-0.161621	0.106445	0.997559	-1.540000	-3.710000	3.780000	312.00	-0.094559	-0.070284		
0.08	3.50	3.25	2.75	4.00	0.50	2.75	0.00	2.25	0.25	1.00	0.50	1.75	2.50	0.75	0.00	0.75	-0.159180	0.147949	0.974121	-1.750000	1.890000	0.770000	256.00	-0.133260	-0.157474	2.25	2.25	4.25	5.75	3.00	4.00	0.25	1.25	2.25	1.75	1.50	0.75	0.50	0.50	0.50	1.00	-0.162109	0.110840	0.996094	-1.540000	-3.640000	3.850000	315.00	-0.103611	-0.074174		
0.09	3.25	3.00	2.75	4.25	0.50	2.50	0.00	2.50	0.25	0.75	0.50	1.75	2.50	0.75	0.00	0.75	-0.157227	0.146484	0.979492	-1.820000	1.890000	0.700000	253.00	-0.131570	-0.164733	2.50	2.75	4.25	6.00	3.00	4.25	0.25	1.50	2.75	1.75	1.50	0.75	0.50	0.50	0.75	1.00	-0.161133	0.114746	1.000488	-1.610000	-3.710000	3.990000	338.00	-0.100371	-0.073771		
