# Measurement Wed, 01 Mar 2023 - 20:32:35.186 (01:45.716) SN8508 SN8509 Size 4, normal
# No Name, No Comment, No tags
# time	left pressure 1[N/cm²]	left pressure 2[N/cm²]	left pressure 3[N/cm²]	left pressure 4[N/cm²]	left pressure 5[N/cm²]	left pressure 6[N/cm²]	left pressure 7[N/cm²]	left pressure 8[N/cm²]	left pressure 9[N/cm²]	left pressure 10[N/cm²]	left pressure 11[N/cm²]	left pressure 12[N/cm²]	left pressure 13[N/cm²]	left pressure 14[N/cm²]	left pressure 15[N/cm²]	left pressure 16[N/cm²]	left acceleration X[g]	left acceleration Y[g]	left acceleration Z[g]	left angular X[dps]	left angular Y[dps]	left angular Z[dps]	left total force[N]	left center of pressure X[-0.5...+0.5]	left center of pressure Y[-0.5...+0.5]	right pressure 1[N/cm²]	right pressure 2[N/cm²]	right pressure 3[N/cm²]	right pressure 4[N/cm²]	right pressure 5[N/cm²]	right pressure 6[N/cm²]	right pressure 7[N/cm²]	right pressure 8[N/cm²]	right pressure 9[N/cm²]	right pressure 10[N/cm²]	right pressure 11[N/cm²]	right pressure 12[N/cm²]	right pressure 13[N/cm²]	right pressure 14[N/cm²]	right pressure 15[N/cm²]	right pressure 16[N/cm²]	right acceleration X[g]	right acceleration Y[g]	right acceleration Z[g]	right angular X[dps]	right angular Y[dps]	right angular Z[dps]	right total force[N]	right center of pressure X[-0.5...+0.5]	right center of pressure Y[-0.5...+0.5]
0.00	7.50	9.00	4.50	7.25	0.50	2.75	0.00	1.00	0.00	0.25	0.50	0.50	0.75	0.25	0.00	0.00	-0.144043	0.083008	0.991211	-1.330000	1.960000	0.770000	332.00	-0.282837	-0.102411	7.50	9.00	5.50	8.25	0.50	3.75	0.00	1.00	0.00	0.75	0.50	0.25	0.50	0.50	0.00	0.25	-0.117188	0.148438	1.002441	-1.400000	-3.850000	4.060000	365.00	-0.271915	-0.098883
0.01	7.50	9.00	4.50	7.25	0.50	2.75	0.00	0.75	0.00	0.25	0.50	0.50	0.75	0.25	0.00	0.00	-0.146484	0.087402	0.990234	-1.540000	1.960000	0.700000	328.00	-0.285703	-0.099345	7.50	9.00	5.75	8.25	0.50	3.75	0.00	1.00	0.00	0.75	0.50	0.00	0.50	0.25	0.00	0.25	-0.126465	0.147949	1.002441	-1.400000	-3.990000	4.060000	364.00	-0.278739	-0.097742
0.02	7.50	9.00	4.50	7.25	0.75	2.75	0.00	0.75	0.00	0.25	0.50	0.25	1.00	0.00	0.00	0.00	-0.145508	0.081543	0.985352	-1.890000	2.170000	0.560000	328.00	-0.289503	-0.100522	7.50	9.00	5.75	8.25	0.50	4.25	0.00	1.00	0.00	0.50	0.50	0.00	0.50	0.50	0.00	0.25	-0.122070	0.138184	1.000977	-1.330000	-3.850000	4.060000	368.00	-0.276717	-0.099693
0.03	7.50	8.75	4.50	7.75	0.50	2.75	0.00	1.00	0.00	0.00	0.50	0.50	1.00	0.25	0.00	0.25	-0.145508	0.084961	0.977539	-1.610000	2.100000	0.560000	335.00	-0.280694	-0.107943	7.50	9.00	6.00	8.25	0.50	4.25	0.00	1.25	0.00	0.50	0.50	0.00	0.50	0.50	0.00	0.25	-0.124023	0.145508	1.000000	-1.470000	-3.920000	4.060000	374.00	-0.274183	-0.101118
0.04	7.50	8.75	4.50	7.75	0.50	2.75	0.00	1.25	0.00	0.00	0.50	0.50	0.75	0.00	0.00	0.25	-0.145508	0.087891	0.979980	-1.610000	2.030000	0.630000	335.00	-0.284629	-0.110448	7.50	8.50	6.00	8.25	0.50	4.25	0.00	1.25	0.00	0.75	0.50	0.25	0.50	0.50	0.00	0.25	-0.126953	0.146973	1.004395	-1.470000	-3.990000	4.060000	375.00	-0.266203	-0.100592
0.05	7.50	8.75	4.50	7.75	0.50	2.75	0.00	1.00	0.00	0.25	0.25	0.50	1.00	0.25	0.00	0.25	-0.144531	0.091797	0.985352	-1.750000	1.960000	0.630000	335.00	-0.280615	-0.106668	7.50	8.50	6.00	8.75	0.50	4.25	0.00	1.00	0.00	0.75	0.50	0.25	0.25	0.50	0.00	0.25	-0.121094	0.139160	1.001953	-1.400000	-3.990000	4.130000	374.00	-0.271168	-0.097629
0.06	7.50	8.75	4.50	7.50	0.50	2.50	0.00	1.00	0.00	0.00	0.25	0.25	0.75	0.25	0.00	0.25	-0.145996	0.085938	0.987305	-1.890000	2.100000	0.560000	324.00	-0.291804	-0.102132	7.50	8.50	6.25	8.25	0.75	4.00	0.00	1.00	0.00	0.50	0.50	0.00	0.25	0.50	0.00	0.25	-0.123047	0.146484	1.003906	-1.400000	-3.990000	4.130000	367.00	-0.277187	-0.092060
0.07	7.50	8.75	4.50	7.50	0.50	2.50	0.00	1.00	0.00	0.00	0.25	0.50	0.75	0.00	0.00	0.00	-0.146484	0.088379	0.988281	-1.960000	2.100000	0.630000	323.00	-0.294841	-0.104452	7.50	8.50	6.25	8.25	0.75	4.00	0.00	1.00	0.00	0.75	0.50	0.00	0.50	0.50	0.00	0.25	-0.120117	0.139160	1.002441	-1.400000	-3.920000	4.130000	371.00	-0.271474	-0.093046
0.08	7.50	8.75	4.50	7.50	0.50	2.50	0.00	0.75	0.00	0.00	0.25	0.50	1.00	0.00	0.00	0.00	-0.142578	0.081543	0.985352	-1.960000	1.960000	0.700000	321.00	-0.295017	-0.103560	7.50	8.50	6.00	8.25	0.50	3.75	0.00	1.00	0.00	0.75	0.50	0.00	0.50	0.50	0.00	0.25	-0.128906	0.146484	1.000000	-1.400000	-3.990000	4.060000	364.00	-0.273341	-0.094161
0.09	7.50	8.75	4.50	7.25	0.50	2.50	0.00	1.00	0.00	0.00	0.25	0.50	1.00	0.25	0.00	0.00	-0.145996	0.085938	0.989746	-2.100000	1.890000	0.630000	324.00	-0.287784	-0.104018	7.50	8.50	6.00	8.25	0.50	4.25	0.00	1.00	0.00	0.50	0.50	0.00	0.50	0.50	0.00	0.25	-0.125488	0.149902	0.993652	-1.400000	-3.990000	4.060000	366.00	-0.275031	-0.097613
